States,Total population,Households,Female_householder,With_own_children,OCCUPATIONCivilianemployedpopulation16yearsandover,Femalecivilianemployedpopulation16yearsandover,Families,Poverty rates for families and people for whom poverty status is determined All families,Female_householder_family,With_children_18,With_children_5,number_single_moms,number_single_moms_w_minors,percentage_female_employed,households_foreign_born
Minnesota,498826,215166,15.9,10.3,323584,149646,160668,14.1,31.0,39.4,60.9,34211.394,22162.098,46.24641515031646,43.13447975847289
Kentucky,180899,72720,14.5,9.7,112577,48557,52994,17.5,36.3,46.9,55.7,10544.4,7053.839999999999,43.1322561446832,40.19922719307459
Nebraska,142569,61283,13.6,9.4,93141,39445,46228,13.5,22.0,25.6,,8334.488000000001,5760.602,42.349770777638206,42.984800342290406
Georgia,1168022,499099,14.2,8.7,769549,336591,386728,11.1,26.6,32.9,24.0,70872.05799999999,43421.613,43.73873528521251,42.7302739160735
North Carolina,916787,390698,13.8,8.6,579698,249451,304679,14.3,36.8,47.6,36.8,53916.32400000001,33600.028,43.03119900361912,42.616005680708824
Arizona,962688,425795,15.1,8.3,561845,235684,327705,14.0,25.9,34.1,29.8,64295.045,35340.985,41.948224154348615,44.22980238665071
Iowa,190727,78564,12.3,8.3,126111,53967,55868,13.9,33.1,40.2,68.9,9663.372000000001,6520.812,42.79325356233794,41.191860617531866
Nevada,600957,260837,16.2,8.3,364233,162284,199204,11.5,21.3,28.4,26.9,42255.594000000005,21649.471,44.55499638967365,43.40360458402182
Massachusetts,1259871,561458,15.4,8.2,808127,374150,404216,9.9,19.9,28.6,23.8,86464.53199999999,46039.556,46.29841596679729,44.56472130876891
Tennessee,392453,157644,11.3,7.7,246240,97548,124127,14.5,33.1,38.0,38.0,17813.772,12138.588,39.61500974658869,40.16888646538566
Pennsylvania,978173,427997,13.4,7.7,610998,274529,315398,12.1,27.6,32.6,29.0,57351.598000000005,32955.769,44.93124363745872,43.75473459193824
Texas,5169126,2268663,14.6,7.6,3166901,1262507,1794013,15.6,34.1,46.3,54.8,331224.79799999995,172418.388,39.8656920440519,43.888715423071524
Delaware,101110,45539,12.4,7.6,64635,26911,35300,8.1,13.4,17.5,,5646.836,3460.964,41.6353368917769,45.03906636336663
Mississippi,65448,24324,12.5,7.5,37067,13438,17016,19.3,43.2,49.8,,3040.5,1824.3,36.25327110367713,37.165383204987165
New Mexico,196873,91906,14.2,7.4,112334,49034,66879,18.9,28.2,45.4,,13050.651999999998,6801.044000000001,43.65018605230829,46.68288693726412
South Carolina,273375,121364,12.2,7.4,169396,70915,90545,14.4,34.1,45.9,32.3,14806.408,8980.936000000002,41.86344423717207,44.3946959304984
Idaho,115978,46602,12.8,7.4,75063,31230,36858,13.6,33.7,52.5,90.1,5965.0560000000005,3448.5480000000007,41.60505175652452,40.18175860939144
Colorado,557528,239506,12.6,7.3,361583,160878,174304,9.7,20.2,30.3,62.9,30177.756,17483.938,44.49268909213099,42.95855992882869
